"V01.00.000"
"$_Languages"
"9(1) Ó¢Óï(ÃÀ¹ú)","7(1) µÂÓï(µÂ¹ú)"
"Control signals for orientation axes [1..3]","Steuersignale für Orientierungsachsen [1..3]"
"Activate handwheel Bit value coding ","Handradaktivierung (Bitwert-Codierung)"
"Tool prewarn limit reached","Werkzeug Vorwarngrenze erreicht"
"Tool limit reached ","Werkzeug Grenzwert erreicht"
"Transition to new replacement tool ","Übergang auf neues Ersatzwerkzeug"
"last replacement tool of the tool group","letztes Ersatzwerkzeug der Werkzeuggruppe"
"T number for tool prewarn limit","T-Nummer für WZ-Vorwarngrenze"
"T number for tool limit","T-Nummer für WZ-Grenzwert"
"T number of the new replacement tool","T-Nummer des neuen Ersatzwerkzeuges"
"T number of the last replacement tool","T-Nummer des letzten Ersatzwerkzeuges"
"Drive test movement enable","Antriebstest Fahrfreigabe"
"Acknowledge fixed stop reached","Festanschlag erreicht quittieren"
"Sensor fixed stop","Sensor Festanschlag"
"Axis/spindle disable","Achsen-/Spindelsperre"
"Follow-up mode","Nachführbetrieb"
"Position measuring system 1","Lagemeßsystem 1"
"Position measuring system 2","Lagemeßsystem 2"
"Override active","Korrektur wirksam"
"SW cam activation","SW-Nocken Aktivierung"
"Controller enable","Reglerfreigabe"
"Delete distance to go/Spindle-Reset","Restweg löschen/Spindel-Reset"
"Clamping in progress","Klemmvorgang läuft"
"Reference point value 1","Referenzpunktwert 1"
"Reference point value 2","Referenzpunktwert 2"
"Reference point value 3","Referenzpunktwert 3"
"Reference point value 4","Referenzpunktwert 4"
"Import external ZO","Externe NV übernehmen"
"Enable travel to fixed stop","Fahren auf Festanschlag freigeben"
"Activate fixed feed 1","Festvorschub 1 aktivieren"
"Activate fixed feed 2","Festvorschub 2 aktivieren"
"Activate fixed feed 3","Festvorschub 3 aktivieren"
"Activate fixed feed 4","Festvorschub 4 aktivieren"
"Velocity/spindle speed limitation","Geschw.-/Spindeldrehzahlbegrenzung"
"Feed stop/spindle stop","Vorschub Stop/Spindel Stop"
"OEM axis signals","Vorschub/Spindel-Halt"
"Assign NC axis/spindle channel A","NC-Achse/Spindel Kanal A zuordenen"
"Assign NC axis/spindle channel B","NC-Achse/Spindel Kanal B zuordenen"
"Assign NC axis/spindle channel C","NC-Achse/Spindel Kanal C zuordenen"
"Assign NC axis/spindle channel D","NC-Achse/Spindel Kanal D zuordenen"
"Activation of assignment with pos. edge","Aktivierung Zuordnung durch pos. Flanke"
"Request PLC axis/spindle","PLC-Achse/Spindel anfordern"
"Parameter block servo A","Parametersatz Servo A"
"Parameter block servo B ","Parametersatz Servo B "
"Parameter block servo C ","Parametersatz Servo C "
"Lock parameter set definition from NC","Hardwareendschalter minus"
"REPOS DELAY","Hardwareendschalter plus"
"Hardware limit switch minus","2. Softwareendschalter minus"
"Hardware limit switch plus","2. Softwareendschalter plus"
"2nd software limit switch minus","Verzöger. Ref.pkt.-fahren"
"2nd software limit switch plus","Istgetriebestufe A"
"Delay reference point approach","Istgetriebestufe B"
"Actual gear stage A","Istgetriebestufe C"
"Actual gear stage B","Getriebe ist umgeschaltet"
"Actual gear stage C","Spindel 1 neu synchronisieren"
"Gear has changed over","Spindel 2 neu synchronisieren"
"Re-synchronize spindle 1","keine Drehzahlüberw. bei Getr.umschaltung"
"Re-synchronize spindle 2","S-Wert löschen"
"No monitoring when changing gear","Vorschubkorr. b. Spindel gültig"
"Delete S value","Spindel 1 neu synchr. b. Positionieren"
"Feedrate override for spindle valid","Spindel 2 neu synchr. b. Positionieren"
"Re-synchronize spindle 1 f. positioning","S. neu synchr. 1 beim Positionieren"
"Re-synchronize spindle 2 f. positioning","S. neu synchr. 2 beim Positionieren"
"Invert M3/M4","M3/M4 invertieren"
"Oscillation via PLC","Pendeln durch die PLC"
"enable Oscillation","Pendeldrehzahl"
"Setpoint osci. direct. right","Solldrehrichtung rechts"
"Setpoint osci. direct. left","Solldrehrichtung links"
"Spindle override","Spindelkorrektur"
"Run-up encoder quick stop","Hochlaufgeber-Schnell-Stop"
"Speed setpoint smoothing","Drehzahlsollwertglättung"
"Parameter set selection A","Parametersatzanwahl A"
"Parameter set selection B","Parametersatzanwahl B"
"Parameter set selection C","Parametersatzanwahl C"
"Motor selection A","Motoranwahl A"
"Motor selection B","Motoranwahl B"
"Motor selected","Motoranwahl erfolgt"
"n controller integrator disable","Integratorsperre n-Regler"
"Pulse enable","Impulsfreigabe"
"Deselection SG/SBH","Abwahl sichere Geschw. und Stillstand"
"Deselection of safe standstill","Abwahl sicherer Stillstand"
"Selection SG bit 0","Geschwindigkeitsgrenze Bitwert 0"
"Selection SG bit 1","Geschwindigkeitsgrenze Bitwert 1"
"Selection Transmission bit 0","Übersetzung Bitwert 0"
"Selection Transmission bit 1","Übersetzung Bitwert 1"
"Selection Transmission bit 2","Übersetzung Bitwert 2"
"Selection SE","Endlagenpaar 2 aktivieren"
"Activate test stop","Teststop aktivieren"
"Master / Slave On","Master / Slave Ein"
"Compensation controller On","Ausgleichsregler Ein"
"Enable following axis override ","Freigabe"
"Set reversal point","Umkehrpunkt setzen"
"Change reversal point","Umkehrpunkt ändern"
"Stop at next reversal point","Halt im nächsten Umkehrpunkt"
"Stop","Halt"
"PLC checks axis","PLC kontrolliert Achse"
"Start gantry synchronization run","Start Gantry-Synchronisationslauf"
"No auto sync","Synchronisation sperren"
"Stop spindle","Spindelstop"
"Start spindle Clockwise","Spindelstart Rechtslauf"
"Start spindle Counterclockwise","Spindelstart Linkslauf"
"Autom. gear step change","autom. Getriebestufenwechsel"
"Position spindle","Spindel Positionieren"
"Deselection external Stop A","Abwahl externes Stop A"
"Deselection external Stop C","Abwahl externes Stop C"
"Deselection external Stop D","Abwahl externes Stop D"
"Deselection external Stop E","Abwahl externes Stop E"
"Selection SG-correction Bit 0","Bitwert 0"
"Selection SG-correction Bit 1","Bitwert 1"
"Selection SG-correction Bit 2","Bitwert 2"
"Selection SG-correction Bit 3","Bitwert 3"
"Spindle/no axis","Spindel/keine Achse"
"NCU_link active axis","NCU_link aktive Achse"
"Encoder limit frequency 1 exceeded","Gebergrenzfreq. 1 überschritten"
"Encoder limit frequency 2 exceeded","Gebergrenzfreq. 2 überschritten"
"Referenced/synchronized 1","Referiert/Synchronisiert 1"
"Referenced/synchronized 2","Referiert/Synchronisiert 2"
"Position reached with exact stop coarse","Position erreicht mit Genauhalt grob"
"Position reached with exact stop fine","Position erreicht mit Genauhalt fein"
"Travel request","Fahranforderung"
"Axis ready","Nachführen aktiv"
"Follow-up mode active","Achse/Spindel steht (n<nmin)"
"Axis/spindle stationary (n<nmin)","Lageregler aktiv"
"Position controller active","Drehzahlregler aktiv"
"Speed controller active","Stromregler aktiv"
"Current controller active","Software-Nocken aktiv"
"Software cams active","Handrad-Überlagerung aktiv"
"Measuring active","Messung aktiv"
"Activate travel to fixed stop","Fahren auf Festanschlag aktivieren"
"Fixed stop reached","Festanschlag erreicht"
"NC axis/spindle in channel A","NC-Achse/Spindel in Kanal A"
"NC axis/spindle in channel B","NC-Achse/Spindel in Kanal B"
"NC axis/spindle in channel C","NC-Achse/Spindel in Kanal C"
"NC axis/spindle in channel D","NC-Achse/Spindel in Kanal D"
"New type requested by PLC","neuer Typ von PLC gefordert"
"Change axis possible","Achstausch möglich"
"Neutral axis/spindle","neutrale Achse/Spindel"
"PLC axis/spindle","PLC-Achse/Spindel"
"MMC REPOS DELAY","MMC REPOS DELAY"
"Scratch pulse","Schmierimpuls"
"Positioning axis","Positionierachse"
"Indexing axis in position","Teilungsachse in Position"
"Curve axis in position","Rundungs achse in Position"
"F function (REAL format) for positioning axes","F-Funktion (Real) für Positionierachse"
"Setpoint gear stage A","Sollgetriebestufe A"
"Setpoint gear stage B","Sollgetriebestufe B"
"Setpoint gear stage C","Sollgetriebestufe C"
"Gear changeover","Getriebe umschalten"
"Speed limit exceeded","Drehzahlgrenze überschritten"
"Setpoint speed limited","Solldrehzahl begrenzt"
"Setpoint speed increased","Solldrehzahl erhöht"
"Geometry monitoring","Geometrieüberwachung"
"Support area limits violated","Auflagebereichsgrenze verletzt"
"Spindle in setpoint range","Spindel im Sollbereich"
"Speed monitoring","Drehzahlüberwachung"
"Actual rotation direction right","Istdrehrichtung rechts"
"Const. cutting speed active","konst. Schnittgeschwindigleit aktiv"
"SUG active (grinding wheel surface speed)","SUG aktiv"
"CLG active","Spitzenloses Schleifen (CLG) aktiv"
"Tapping without compensating chuck","Gewindebohren ohne Ausgleichsfutter"
"Synchronous mode spindle active","Synchronbetrieb Spindel aktiv"
"Positioning mode spindle active","Positionierbetrieb Spindel aktiv"
"Oscillation mode spindle active","Pendelbetrieb Spindel aktiv"
"Control mode spindle active","Steuerbetrieb Spindel aktiv"
"M function (INT) for spindle","M-Funktion (Int) für Spindel"
"S function (REAL) for spindle","S-Funktion (Real) für Spindel"
"Run-up encoder disable active","Hochlaufgebersperre aktiv"
"Speed setpoint smoothing active","Drehzahlsollwertglättung aktiv"
"Active parameter set A","aktiver Parametersatz A"
"Active parameter set B","aktiver Parametersatz B"
"Active parameter set C","aktiver Parametersatz C"
"Active motor A","aktiver Motor A"
"Active motor B","aktiver Motor B"
"Drive ready","Drive-Ready"
"n controller integrator disabled","Integrator n-Regler gesperrt"
"Pulses enabled","Impulse freigegeben"
"Temperature prewarning motor","Temperaturvorwarnung Motor"
"Temperature prewarning heat sink","Temperaturvorwarnung Kühlkörper"
"Ramp-up complete","Hochlaufvorgang beendet"
"Md<Mdx","Md<Mdx"
"nact<nmin","nist<nmin"
"nact<nx","nist<nx"
"Variable message function","variable Meldefunktion"
"UDC-link < alarm threshold","UZK < Warnschwelle"
"Error spindle monitoring","Fehler Drehüberwachung"
"Master/ slave active","Master/ Slave aktive"
"Synchronism fine","Synchronlauf fein"
"Synchronism coarse","Synchronlauf grob"
"Actual value coupling","Istwertkopplung"
"Overlaid motion","überlagerte Bewegung"
"Speed warning limit reached","Drehzahl Warnschwelle erreicht"
"Acceleration warning limit reached","Beschl.-Warn- Schwelle erreicht"
"Emergency retraction active","Notrückzug aktiv"
"Master spindle","Leitspindel"
"Slave spindle","Folgespindel"
"Axis accelerated","Achse beschleunigt"
"Synchronization active","Synchtonisation läuft"
"Max speed reached","max Drehzahl erreicht"
"Max acceleration reached","max. Beschl erreicht"
"Oscillation cannot start","Pendeln nicht startbar"
"Error during oscillation","Fehler während Pendelbewegung"
"Spark-out active","Ausfeuern aktiv"
"Oscillation motion active","Pendelbewegung aktiv"
"Oscillation active","Pendeln aktiv"
"Gantry cut-off limit exceeded","Gantry-Abschaltgrenze überschritten"
"Gantry warning limit exceeded","Gantry-Warnschwelle überschritten"
"Synchronization run ready to start","Synchronisationslauf startbereit"
"Gantry grouping is synchronous","Gantry-Verbund ist synchron"
"Gantry leading axis","Gantry-Führungsachse"
"Gantry axis","Gantry-Achse"
"Active infeed axis[1..31]","aktive Zustellachse [1..31]"
"Active SG/SBH","sichere Geschw. oder Stillstand aktiv"
"Delete pulses NCK","Impulse über ext. Beschaltung löschen"
"Axis safely referenced","Achse sicher referenziert"
"Actual position > cam position SN1+","Istposition > Nockenposition SC1+"
"Actual position > cam position SN1-","Istposition > Nockenposition SC1-"
"Actual position > cam position SN2+","Istposition > Nockenposition SC2+"
"Actual position > cam position SN2-","Istposition > Nockenposition SC2-"
"Actual position > cam position SN3+","Istposition > Nockenposition SC3+"
"Actual position > cam position SN3-","Istposition > Nockenposition SC3-"
"Actual position > cam position SN4+","Istposition > Nockenposition SC4+"
"Actual position > cam position SN4-","Istposition > Nockenposition SC4-"
"Active SBH","SBH aktiv"
"Active SG 0","aktive SG 0"
"Active SG 1","aktive SG 1"
"n < nx","n < nx"
"Stop A/B active","Stop A/B aktive"
"Stop C active","Stop C aktive"
"Stop D active","Stop D aktive"
"Stop E active","Stop E aktive"
"Interface [no.] active ","Schnittstelle aktiv"
"Assigned channel","zugeordneter Kanal"
"Tool management no.","Werkzeugverwaltungs-Nr."
"Unassigned parameter 1","freier Parameter 1"
"Unassigned parameter 2","freier Parameter 2"
"Unassigned parameter 3","freier Parameter 3"
"Identification for loading/unloading station","Kennung für Be-/Entladestelle (Int),"
"No. of loading station","Nr. der Beladestelle"
"Magazine no. (source) for unloading/reloading/pos.","Magazin-Nr. (Quelle) für Entladen/Umladen"
"Location no. (source) for unloading/reloading/pos.","Platz-Nr. (Quelle) für Entladen/Umladen"
"Magazine no. (target) for loading/reloading","Magazin-Nr. (Ziel) für Beladen/Umsetzen/Positionieren"
"Location no. (target) for loading/reloading","Platz-Nr. (Ziel) für Beladen/Umladen/Positionieren"
"HMI Data: Without Magazine Moving","HMI-Daten: Be-/Entladen ohne Magazinbewegung"
"Compulsory change","Wechselpflicht"
"Perform change","Wechsel druchführen"
"Prepare change","Wechsel vorbereiten"
"T0 programmed","T0 programmiert"
"ZWS No. of Old Tool in DBW (n+42)","AltWZ in ZWS-Nr. (n+42)"
"Put in Tool in Spindle manual","Handwerkzeug einwechseln"
"Get out Tool from Spindle manual","Handwerkzeug auswechseln"
"Buffer identification (fixed value 9998)","Zwischenspeicher-Kennung (Int), (fester Wert 9998)"
"Relative location (target) in the buffer","relativer Platz (Ziel bzw. Quelle) im Zwischenspeicher"
"Magazine no. (source) for new tool","Magazin-Nr. (Quelle) für neues Werkzeug"
"Location no. (source) for new tool","Platz-Nr. (Quelle) für neues Werkzeug"
"Magazine no. (target) for old tool","Magazin-Nr. (Ziel) für altes Werkzeug"
"Location no. (target) for old tool","Platz-Nr. (Ziel) für altes Werkzeug"
"Tool new: location type","Werkzeug neu: Platztyp"
"Tool new: size left","Werkzeug neu: Größe links"
"Tool new: size right","Werkzeug neu: Größe rechts"
"Tool new: size top","Werkzeug neu: Größe oben"
"Tool new: size bottom","Werkzeug neu: Größe unten"
"Active tool","aktives Werkzeug"
"Tool enabled","Werkzeug freigegeben"
"Tool disabled","Werkzeug gesperrt"
"Tool measured","Werkzeug vermessen"
"Prewarning limit reached","Vorwarngrenze erreicht"
"Tool fixed location coded","Werkzeugfestplatz cod."
"Tool new: T no.","Werkzeug neu: T-Nr."
"ZWS No. of Old Tool","Zwischenspeicherplatz des Altwerkzeugs"
"Reserved (buffer identification)","reserviert (Speicher-Identifikation)"
"Rel. location in buffer (res.)","rel. Speicherplatz (res.)"
"Magazine no. of turret","Magazin-Nr. des Revolver"
"Location no. for new tool","Platz-Nr. des neuen Werkzeugs"
"Magazine no. of turret (res.)","Magazin-Nr. des Revolver (res.)"
"Location no. for old tool","Platz-Nr. des alten Werkzeugs"
"data for the Basic program","Belegung durch das Grundprogramm"
"Interrupt from NCK","Interrupt vom NCK"
"Toolmanagment","Toolmanagment"
"InPos Signal from FC15,16,18","InPos Signal vom FC15,16,18"
"auxiliary functions","Hilfsfunktionen"
"not used
Insert User-data from here","nicht benutzt
HIER ANWENDER-Lokaldaten EINFUEGEN"
"Channel 1-8 ever 18 Bits","Kanal 1-8 je 18 Bits"
"18 Axes/Spindles ever 2 Bit","18 Achsen/Spindel je 2 Bit"
"10 User data area ever 8 Bit (Begin: DBB23)","10 Anwenderbereiche je 8 Bit (Anfang: DBB23)"
"for TM, number of Magazine","fuer WZV, Anzahl Magazine"
"32 Magazine, possibly ever 5 Byte + Spindle","32 Magazine moeglich je 5 Byte + Spindel"
"used external SPL-Inputbytes(HW)","benutze externer SPL Eingangsbytes (HW)"
"used external SPL-Outputbytes(HW)","benutze externer SPL-Ausgangsbytes (HW)"
"Addresses external SPL-Inputbytes(HW)","Adressen externer SPL-Inputbytes (HW)"
"Addresses external SPL-Outputbytes(HW)","Adressen externer SPL-Outputbytes (HW)"
"setup finished","Setup beendet"
"0= Stop D, 1=Stop E","0= Stop D, 1=Stop E"
"edge difference NCK - PLC for Diagnostic","Differenz NCK - PLC für Diagnose"
"multiplication of Timeout Value by Factor 10         ","Zeitüberwachungswert mit Faktor 10"
"for future use","für zukünftige Benutzung"
"Communication Timeout","Zeitüberwachung Kommunikation"
"Status: 0 - no error, 1 - 320 error number","Status: 0 - kein Fehler, 1 - 320 Fehlernummer"
"stacklevel SPL-KDV for Diagnostic               ","Stacklevel SPL-KDV für Diagnose"
"Single Channel Signals from NCK","Einzelkanal Signale vom NCK"
"Single Channel Signals to NCK","Einzelkanal Signale zum NCK"
"SPL Status from NCK","SPL Status vom NCK"
"external SPL-Inputbytes(HW) with PROFIsafe Slaves","externe SPL-Eingangsbytes (HW) mit PROFIsafe Slaves"
"external SPL-Outputbytes(HW) with PROFIsafe Slaves","externe SPL-Ausgangsbytes (HW) mit PROFIsafe Slaves"
"Pointer and Tables for Teststop","Zeiger und Tabelle für Teststop"
"No. of Revolver, who had positioned","Nummer des Revolvers, der positioniert wurde"
"0 = no error","0 = keine Fehler"
"If TRUE signals will act upon user interface- channel/axis DB's","bei TRUE werden Signale an Anwender-Schnittstelle uebertragen"
"Display-line number, if value=3 text will be automatically wrapped","Display-Zeile, bei Wert = 3 wird die Zeile automatisch umgeschaltet"
"Enter at least String[32]","mindestens String[32] uebergeben"
"Activate number formatting","Zahlenwandlung aktivieren"
"Pointer to  Variable, which will be converted","Zeigt auf Variable, die konvertiert wird"
"Data type of the Variable","DatenTyp der Variablen"
"Right justified string address. 1..32","rechtsbuendige Stringadr. 1..32"
"Conversion or String error ","Konvertierungs- oder Stringfehler"
"Y or star = 0, Delta = 1","Stern = 0, Dreieck = 1"
"Spindle interface ","Spindel-Interface"
"Time value","Zeitwert"
"Timer, specified by user","Timer des Anwenders"
"Output to ""Y"" or start contactor","Stern-Schuetz"
"Output to delta contactor","Dreieck-Schuetz"
"Which BAG (Op. Mode Group)receives the selected operating mode"," BAG-Nr in die die BA uebertragen werden"
"To which channel should the signals be sent"," Kanal-Nr in den die Signale uebertragen werden"
"Which axis interface is the spindle"," Nummer der Achsnahtstelle die Spindel ist"
"Feed Hold latching","Vorschub Halt selbsthaltend"
"Spindle Stop latching","Spindel Halt selbsthaltend"
"Spindle rotation + = 0, - = 1","Spindel Dreh + = 0, - = 1"
"0 - no MCP
1 - 1 MCP (default)
2 - 2 MCP's","0 - keine MSTT
1 - MSTT1 (default)
2 - MSTT2"
"default","default"
"Start edge trigger","Startflanke"
"Name String of Variable","NamenString der Variablen"
"Area (NCK = 0, Channel = 2)","Bereich (NCK = 0, Kanal = 2)"
"Unit","Einheit"
"Field index 1","Feldindex 1"
"Field index 2","Feldindex 2"
"Conversion to 10 Byte Token","Umsetzung in 10 Byte Token"
"Struct with 10 Byte","Struct mit 10 Byte"
" Acknowledge alarms","Quittierung Alarme"
" Mixed mode with non-M to N capable OP's deactivated!","Mischbetrieb mit einem nicht M zu N fähigen OP"
" No Function, use MMCx_SHIFT_LOCK","Bedienfeld aktiv / passiv Umschaltung aktivieren"
" Activate machine control panel switchover","MSTT Umschaltung aktivieren"
" Alarm: Error HMI-Bus address, Bustype!","Alarm: Fehler MMC–Busadresse, Bustyp!"
" Alarm: No confirmation HMI1 offline!","Alarm: Keine Bestätigung MMC1 offline!"
" Alarm: HMI1 won't go offline!","Alarm: MMC1 geht nicht offline!"
" Alarm: No confirmation HMI2 offline!","Alarm: Keine Bestätigung MMC2 offline!"
" Alarm: HMI2 won't go offline!","Alarm: MMC2 geht nicht offline!"
" Alarm: Polling-HMI won't go online!","Alarm: Anklopf–MMC geht nicht online!"
" Message:Sign of life monitoring  ","Meldung: Lebenszeichenüberwachung MMC"
" Timeout by Switchover HMI","Fehlererkennung MMC"
"Input 1   ","Eingang 1"
"Input 2    ","Eingang 2"
"Input 3    ","Eingang 3"
"Quit1 Signal    ","QuittierEingang 1"
"Quit2 Signal    ","QuittierEingang 2"
"TimeValue for Output 1         ","Zeit–Wert 1 für Ausschaltverzögerung"
"TimeValue for Output 2         ","Zeit–Wert 2 für Ausschaltverzögerung"
"TimeValue for Output 3         ","Zeit–Wert 3 für Ausschaltverzögerung"
"Output without Delay        ","Ausgang unverzögert"
"Delayed Output to False by Timer 1         ","Ausgang verzögert mit TimeValue1"
"Delayed Output to False by Timer 2","Ausgang verzögert mit TimeValue2"
"Delayed Output to False by Timer 3","Ausgang verzögert mit TimeValue3"
"True by User after 1. Start of SPL","Aktivierung der Grundstellung"
"Start for Braketest","Start des Bremsentests"
"Quit Error","Fehler Quittierung"
"brake closed input(single channel - PLC)","Rückmeldeeingang ob Bremse schließen angesteuert ist (einkanalig ?PLC)"
"testing axisno.","Achsnummer der zu testenden Achse"
"Timer from User","Timer aus Anwenderprogramm"
"TimeValue -> braketest activ","Überwachungs–Zeitwert ? Bremsentest aktiv"
"TimeValue -> close Brake","Überwachungs–Zeitwert ? Bremse schliessen"
"TimeValue -> force FeedCommand","Überwachungs–Zeitwert ? Fahrbefehl ausgegeben"
"TimeValue -> Fixed stop reached","Überwachungs–Zeitwert ? Festanschlag erreicht"
"TimeValue -> test brake","Überwachungs–Zeitwert ? Bremse testen"
"Signal Close brake","Anforderung für Bremse schließen"
"do move axis","Anforderung Verfahrbewegung anstossen"
"Errorbyte","Fehlerstatus"
